,target
2097,شناسایی
2098,و
2099,اونهارو
2100,به
2101,این
2102,اپ
2103,منتقل
2104,میکنه
2105,و
2106,روشون
2107,رمز
2108,میزاره
2109,.
2110,۱۴۸۲۲
2111,/nude-app-photo-vault-sexting
2112,…
2113,کاربرد‌های
2114,هوش
2115,مصنوعی
2116,چه
2117,خطرهایی
2118,میتونه
2119,داشته
2120,باشه
2121,؟
2122,یادگیری
2123,ماشین
2124,AI
2125,tus
2126,/
2127,۹۲۰۰۲۹۱۶۳۲۱۷۶۵۳۷۶۰
2128,…
2129,هوش
2130,مصنوعی
2131,چه
2132,کارهایی
2133,می‌تونه
2134,انجام
2135,بده
2136,؟
2137,یادگیری
2138,ماشین
2139,AI
2140,دانشجویی
2141,که
2142,یادگیری
2143,ماشین
2144,رو
2145,صفر
2146,شده
2147,چی
2148,؟
2149,:
2150,)
2151,)
2152,چطور
2153,به
2154,یک
2155,مغز
2156,مصنوعی
2157,آموزش
2158,بدیم
2159,تا
2160,درست
2161,و
2162,غلط
2163,رو
2164,تشخیص
2165,بده
2166,؟
2167,هوش
2168,مصنوعی
2169,یادگیری
2170,ماشین
2171,g
2172,/status
2173,/
2174,۹۱۹۱۲۳۱۱۱۳۱۶۰۲۱۲۴۸
2175,g
2176,/status
2177,/
2178,۹۱۹۱۲۳۱۱۱۳۱۶۰۲۱۲۴۸
2179,…
2180,۱۰۰
2181,استارتاپ
2182,ی
2183,که
2184,از
2185,هوش
2186,مصنوعی
2187,استفاده
2188,می‌کنن
2189,یادگیری
2190,ماشین
2191,tatus
2192,/
2193,۹۱۸۸۴۲۶۲۹۲۳۵۸۴۷۱۶۹
2194,…
2195,کاش
2196,یه
2197,پروژه
2198,داده
2199,کاوی
2200,،
2201,یادگیری
2202,ماشین
2203,یا
2204,شبکه
2205,عصبی
2206,که
2207,درست
2208,و
2209,حسابی
2210,باشه
2211,یه
2212,جا
2213,بود
2214,انجام
2215,میدادم
2216,.
2217,همش
2218,دیتاست‌های
2219,آموزشی
2220,.
2221,.
2222,.
2223,آموزشی
2224,.
2225,.
2226,.
2227,آموزشی
2228,.
2229,.
2230,.
2231,یه
2232,کانال
2233,تخصصی
2234,یادگیری
2235,ماشین
2236,فرستادن
2237,،
2238,رفتم
2239,چک
2240,کنم
2241,پست
2242,آخرش
2243,«
2244,صحنه
2245,فوت
2246,مردبزرگ
2247,استیو
2248,جابز
2249,»
2250,بود
2251,!
2252,خاک
2253,تو
2254,سرتون
2255,گوگل
2256,پیکسل
2257,۲
2258,از
2259,تصاویر
2260,HDR
2261,و
2262,OIS
2263,پشتیبانی
2264,می‌کنه
2265,و
2266,دارای
2267,حالت
2268,پرتره
2269,است
2270,.
2271,یادگیری
2272,ماشین
2273,هم
2274,در
2275,سیستم
2276,دوربین
2277,این
2278,گوشی‌ها
2279,استفاده
2280,شده
2281,گوگل
2282,کلا
2283,پیشرفت
2284,یادگیری
2285,ماشین
2286,خیلی
2287,زیاد
2288,بوده
2289,.
2290,این
2291,عملا
2292,جلوه‌های
2293,هوش
2294,مصنوعی
2295,هست
2296,که
2297,کاربردهای
2298,زیادی
2299,داره
2300,و
2301,لزوما
2302,جاسوسی
2303,نیست
2304,.
2305,بپرس
2306,از
2307,یادگیری
2308,ماشین
2309,هم
2310,استفاده
2311,میکنن
2312,؟
2313,۱۰۴۰
2314,نفر
2315,کلاس
2316,یادگیری
2317,ماشین
2318,اندرو
2319,ان‌جی
2320,رو
2321,توی
2322,استنفورد
2323,گرفتن
2324,!
2325,بعد
2326,این‌جا
2327,پالهنگ
2328,هوش
2329,ارائه
2330,داد
2331,،
2332,هیچ‌کس
2333,نگرفت
2334,و
2335,اون
2336,ترم
2337,کلاس
2338,هوشی
2339,تشکیل
2340,نشد
2341,us
2342,/
2343,۹۱۲۳۸۲۱۵۴۱۵۵۳۵۲۰۶۴
2344,…
2345,آمازون
2346,کلاد
2347,یک
2348,کتابخونه
2349,محبوب
2350,یادگیری
2351,ماشین
2352,رو
2353,حذف
2354,کرده
2355,و
2356,بجاش
2357,یکی
2358,از
2359,محصولات
2360,خودش
2361,رو
2362,پیشنهاد
2363,می‌ده
2364,!
2365,s
2366,/
2367,۹۰۹۹۰۹۲۷۸۴۲۰۳۸۱۶۹۶
2368,…
2369,فرآیند
2370,یادگیری
2371,ماشین
2372,مثل
2373,بچه
2374,بزرگ
2375,کردنه
2376,.
2377,اینکه
2378,چی
2379,یاد
2380,می‌گیره
2381,به
2382,ورودی‌ها
2383,بستگی
2384,داره
2385,.
2386,به
2387,زودی
2388,میگیم
2389,جلو
2390,ماشین
2391,این
2392,حرف
2393,رو
2394,نزن
2395,یاد
2396,می‌گیره
2397,!
2398,چشم
2399,شما
2400,بی
2401,بلا
2402,.
2403,من
2404,یادگیری
2405,ماشین
2406,و
2407,هوش
2408,مصنوعی
2409,آموزشاشو
2410,دنبال
2411,میکنم
2412,.
2413,ولی
2414,سعی
2415,میکنم
2416,مهارتای
2417,یه
2418,فول
2419,استک
2420,رو
2421,داشته_باشم
2422,.
2423,ریش
2424,میذاری
2425,عادت
2426,میکنه
2427,،
2428,آرایش
2429,میکنی
2430,عادت
2431,میکنه
2432,،
2433,رنگ
2434,و
2435,مدل
2436,مو
2437,عوض
2438,میکنی
2439,عادت
2440,میکنه
2441,،
2442,یادگیری
2443,ماشین
2444,و
2445,شبکه
2446,عصبی
2447,.
2448,.
2449,.
2450,عصبی
2451,.
2452,.
2453,.
2454,عصبی
2455,.
2456,.
2457,.
2458,واقعا
2459,آینده
2460,هس
2461,!
2462,روی
2463,یادگیری
2464,ماشین
2465,هم
2466,متمرکز
2467,بودن
2468,.
2469,واقعا
2470,آدم
2471,عجیبی
2472,بود
2473,.
2474,پایتون
2475,اینجا
2476,،
2477,پایتون
2478,اونجا
2479,،
2480,پایتون
2481,همه
2482,جا
2483,!
2484,برنامه
2485,نویسی
2486,هوش
2487,مصنوعی
2488,رو
2489,کامل
2490,دستش
2491,گرفته
2492,،
2493,بینایی
2494,ماشین
2495,،
2496,یادگیری
2497,ماشین
2498,و
2499,یادگیری
2500,ژرف
2501,و
2502,.
2503,.
2504,.
2505,و
2506,.
2507,.
2508,.
2509,و
2510,.
2511,.
2512,.
2513,عزیزی
2514,اگر
2515,تمایل
2516,به
2517,گرفتن
2518,مستر
2519,در
2520,یادگیری‌ماشین
2521,داره
2522,در
2523,دانشگاه
2524,ویکتوریا
2525,کانادا
2526,،
2527,لطفا
2528,یه
2529,پیغامی
2530,بده
2531,به
2532,من
2533,.
2534,برای
2535,همین
2536,ژانویه
2537,دنبال
2538,میگردیم
2539,.
2540,خیلی
2541,از
2542,مردم
2543,یادگیری
2544,ماشین
2545,رو
2546,با
2547,هوش
2548,مصنوعی
2549,اشتباه
2550,میکنن
2551,.
2552,درصورتیکه
2553,یادگیری
2554,ماشین
2555,بعنوان
2556,زیر
2557,مجموعه
2558,ایی
2559,از
2560,هوش
2561,مصنوعی
2562,محسوب
2563,میشه
2564,.
2565,یادگیری
2566,ماشین
2567,عبارت
2568,ست
2569,از
2570,نرم
2571,افزاری
2572,که
2573,از
2574,تحلیل
2575,نمونه‌ها
2576,می‌آموزد
2577,.
2578,برای
2579,مثال
2580,بجای
2581,تعریف
2582,گربه
2583,،
2584,شما
2585,بهش
2586,عکس
2587,میلیونها
2588,گربه
2589,رو
2590,نشون
2591,میدید
2592,.
2593,یکی
2594,نبود
2595,بهم
2596,بگه
2597,تو
2598,که
2599,اندازه‌ی
2600,نخود
2601,از
2602,بینایی
2603,ماشین
2604,و
2605,یادگیری
2606,ماشین
2607,و…
2608,سردرنمیاری
2609,،
2610,نونت
2611,نبود
2612,؟
2613,آبت
2614,نبود
2615,؟
2616,این
2617,پروژه
2618,رو
2619,گرفتنت
2620,چی
2621,بود
2622,؟
2623,اغلب
2624,وقتی
2625,به
2626,نرم‌افزاری
2627,کلمه
2628,«
2629,هوشمند
2630,»
2631,رو
2632,اضافه
2633,می‌کنیم
2634,منظورمون
2635,اینه
2636,که
2637,if
2638,بیشتری
2639,توی
2640,کدش
2641,نوشتیم
2642,نه
2643,اینکه
2644,مثلا
2645,یادگیری
2646,ماشین
2647,داره
2648,!
2649,۱.
2650,خدماتی
2651,که
2652,به
2653,کسب‌وکار‌های
2654,انترپرایز
2655,ارائه
2656,می‌کنیم
2657,از
2658,ترکیب
2659,اختصاصی
2660,چندین
2661,سرویس
2662,پردازش
2663,بلادرنگ
2664,و
2665,یادگیری‌ماشین
2666,تشکیل
2667,می‌شه
2668,.
2669,سیستم
2670,عامل
2671,ATM‌ها
2672,ویندوز
2673,XP
2674,هستن
2675,ویندوز
2676,XP
2677,رو
2678,خود
2679,ماکروسافت
2680,هم
2681,ساپورت
2682,نمیکنه
2683,دیگه
2684,اندرویدا
2685,شارژراشون
2686,با
2687,iosها
2688,فرق
2689,داره
2690,ولی
2691,تا
2692,قبل
2693,usb
2694,c
2695,همه
2696,به
2697,هم
2698,میخورد
2699,و
2700,فرق
2701,نداشت
2702,سامسونگ
2703,و
2704,ال
2705,جی
2706,بودنش
2707,مثلا
2708,:
2709,)
2710,)
2711,)
2712,برا
2713,همین
2714,سیستم
2715,عامل
2716,میتونه
2717,فیلتر
2718,نوع
2719,شارژر
2720,باشه
2721,سیستم
2722,عامل
2723,متن‌باز
2724,PfSense
2725,توی
2726,آخرین
2727,آپدیتش
2728,DNS
2729,over
2730,TLS
2731,رو
2732,اضافه
2733,کرده
2734,.
2735,دستشون
2736,درد
2737,نکنه
2738,عجب
2739,آپدیت
2740,پر
2741,و
2742,پیمونی
2743,دادن
2744,خیلی
2745,از
2746,مشکلاتی
2747,که
2748,من
2749,دیده_بودم
2750,رو
2751,حل
2752,کردند
2753,.
2754,باگ‌های
2755,امنیتی
2756,بزرگی
2757,رو
2758,هم
2759,رفع
2760,کردند
2761,.
2762,حتما
2763,آپدیت
2764,کنید
2765,:
2766,)
2767,با
2768,توجه
2769,به
2770,اینکه
2771,home
2772,جداست
2773,نصب
2774,سیستم
2775,عامل
2776,جدید
2777,نباید
2778,زیاد
2779,اذیت
2780,کنه
2781,.
2782,سعی
2783,کن
2784,پارتیشن
2785,home
2786,رو
2787,جدا
2788,کنی
2789,که
2790,هر
2791,سری
2792,خواستی
2793,سیستم
2794,عامل
2795,عوض
2796,کنی
2797,اذیت
2798,نشی
2799,.
2800,این
2801,مشکلی
2802,که
2803,داری
2804,حتی
2805,ممکنه
2806,سخت‌افزاری
2807,باشه
2808,.
2809,ترجیحا
2810,یه
2811,بک
2812,آپ
2813,بگیر
2814,.
2815,من
2816,دست
2817,پایین
2818,گفتم
2819,رم
2820,۱۶.
2821,بیشتر
2822,دوستان
2823,روی
2824,۲۴
2825,یا
2826,۳۲
2827,هستن
2828,.
2829,الان
2830,فقط
2831,گوگل
2832,کروم
2833,من
2834,نزدیک
2835,۲
2836,گیگ
2837,رم
2838,گرفته
2839,!
2840,خود
2841,سیستم
2842,عامل
2843,،
2844,مرورگر
2845,،
2846,موسیقی
2847,،
2848,فتو
2849,ادیتور
2850,،
2851,ide
2852,،
2853,وب
2854,سرور
2855,،
2856,دیتابیس
2857,سرور
2858,،
2859,مجازی
2860,ساز
2861,،
2862,پروسه
2863,کامپایل
2864,(
2865,که
2866,خودش
2867,هنگام
2868,کامپایل
2869,رم
2870,میخوره
2871,زیاد
2872,)
2873,،
2874,…
2875,زیاد
2876,)
2877,،
2878,…
2879,زیاد
2880,)
2881,،
2882,.
2883,.
2884,.
2885,زیاد
2886,)
2887,،
2888,.
2889,.
2890,.
2891,زیاد
2892,)
2893,،
2894,.
2895,.
2896,.
2897,اینا
2898,چیزایی
2899,هست
2900,که
2901,نرماله
2902,برای
2903,من
2904,.
2905,.
2906,.
2907,من
2908,.
2909,.
2910,.
2911,من
2912,.
2913,.
2914,.
2915,سیستم
2916,عامل
2917,ios
2918,اینو
2919,داره
2920,فقط
2921,،
2922,آیفون
2923,داری
2924,؟
2925,حالا
2926,من
2927,هی
2928,می‌گم
2929,سیستم
2930,عامل
2931,سر
2932,در
2933,نمیارم
2934,،
2935,این
2936,هی
2937,می‌پرسه
2938,.
2939,بابت
2940,همین
2941,نرم
2942,افزار‌های
2943,مزخرف
2944,به
2945,هرکدوم
2946,زیر
2947,ساخت
2948,مجانی
2949,و
2950,پنج
2951,میلیارد
2952,تومن
2953,کمک
2954,کردن
2955,بدرد
2956,جرز
2957,لای
2958,دیوار
2959,هم
2960,نمیخوری
2961,،
2962,رییس
2963,جمهوری
2964,که
2965,زیر
2966,حرفش
2967,مسزنه
2968,و
2969,نمیتونه
2970,جل
2971,.
2972,ی
2973,فیلتر
2974,نرم
2975,افزار
2976,رو
2977,بگیره
2978,چجوری
2979,میخواد
2980,جلوی
2981,فساد
2982,و
2983,مشکلات
2984,اقتصادی
2985,و
2986,بگسره
2987,،
2988,منم
2989,پشیمونم
2990,از
2991,رایی
2992,که
2993,به
2994,تو
2995,دادم
2996,حسن
2997,،
2998,از
2999,طلا
3000,بودن
3001,پشیمان
3002,گشته
3003,مرحمت
3004,فرمایید
3005,مارا
3006,مس
3007,کنید
3008,رئیس
3009,جمهوری
3010,که
3011,نمیتونه
3012,جلوی
3013,فیلتر
3014,شدن
3015,یه
3016,نرم
3017,افزار
3018,رو
3019,بگیره
3020,چه
3021,جوری
3022,میخواد
3023,جلوی
3024,بالارفتن
3025,سکه
3026,و
3027,دلارو
3028,بگیره
3029,؟
3030,حالا
3031,خلاصه
3032,آمار
3033,بیزی
3034,(
3035,Bayesian
3036,)
3037,بر
3038,مبنای
3039,همین
3040,قانون
3041,احتمالات
3042,میتونه
3043,تحلیل
3044,علت
3045,و
3046,معلولی
3047,انجام
3048,بده
3049,و
3050,هوش
3051,مصنوعی
3052,رو
3053,نسبت
3054,به
3055,عدم
3056,قطعیت‌های
3057,خودش
3058,مطلع
3059,کنه
3060,.
3061,علاقمندان
3062,رجوع
3063,کنن
3064,به
3065,این
3066,۸.
3067,html
3068,…
3069,اخبار
3070,جالبی
3071,خوندم
3072,در
3073,مورد
3074,سلاح‌های
3075,اتوماتیکی
3076,که
3077,از
3078,هوش
3079,مصنوعی
3080,بهره
3081,میبرن
3082,که
3083,میتونن
3084,هدف
3085,رو
3086,تشخیص
3087,بدن
3088,و
3089,تصمیم
3090,بگیرن
3091,زخمی
3092,کنن
3093,یا
3094,بکشن
3095,،
3096,البته
3097,هنوز
3098,قانونی
3099,نشدن
3100,اما
3101,تکنولوژیشون
3102,موجوده
3103,.
3104,اخبار
3105,مشاور
3106,امنیت
3107,ملی
3108,آمریکا
3109,گفت
3110,:
3111,سیاست
3112,جدید
3113,آمریکا
3114,شامل
3115,تغییر
3116,رژیم
3117,در
3118,سوریه
3119,می‌شود
3120,/
3121,۸۵۱۵۰۰۶۷۷۸۸۹۰۴۸۵۷۷
3122,…
3123,نوستالژی
3124,بعضی‌ها
3125,هم
3126,بودن
3127,که
3128,میگفتن
3129,ما
3130,همیشه
3131,در
3132,سیاست
3133,_خارجی
3134,خود
3135,به
3136,آمریکا
3137,بعنوان
3138,یک
3139,دشمن
3140,نگاه
3141,میکنیم
3142,.
3143,موسوی
3144,خوئینی‌ها
3145,چه
3146,فرقی
3147,می‌کنه
3148,برای
3149,ما
3150,سیاست
3151,جدید
3152,یا
3153,قدیم
3154,آمریکا
3155,ما
3156,با
3157,یک
3158,دولت
3159,وحشی
3160,با
3161,اختیارات
3162,فراوان
3163,بدون
3164,مسیولیت
3165,رو
3166,به
3167,رو
3168,هستیم
3169,s
3170,/status
3171,/
3172,۸۵۰۱۶۸۱۶۸۵۰۵۱۰۶۴۳۲
3173,s
3174,/status
3175,/
3176,۸۵۰۱۶۸۱۶۸۵۰۵۱۰۶۴۳۲
3177,…
3178,اولا
3179,هیچوقت
3180,امریکا
3181,و
3182,غرب
3183,سیاست
3184,سلطه
3185,خودشونوکنارنخواهندگذاشت
3186,.
3187,دوما
3188,ایران
3189,زیر
3190,سایه
3191,حمایت
3192,روسیه
3193,و
3194,چین
3195,قدرت
3196,منطقه
3197,شده
3198,.
3199,سوما
3200,سوریه
